path;type_wikiart;type_semart;style;timeframe;TECHNIQUE;SCHOOL;author
Color_Field_Painting/barnett-newman_the-third-1964.jpg;abstract_painting;portrait;Color_Field_Painting;1451-1500;;;
Early_Renaissance/piero-della-francesca_nativity-1475(2).jpg;religious_painting;religious;Early_Renaissance;1451-1500;;;
19563-granida.jpg;portrait;portrait;Baroque;1601-1650;Oil on canvas;Dutch;VAN DER HELST, Bartholomeus
Realism/ivan-shishkin_near-yelabuga-1886.jpg;landscape;landscape;Realism;1851-1900;;;SHISHKIN, Ivan
Naive_Art_Primitivism/niko-pirosmani_bake-bread.jpg;genre_painting;other;Naive_Art_Primitivism;1851-1900;;;
44073-3froimo2.jpg;portrait;portrait;Northern_Renaissance;1401-1450;Oil on wood;Flemish;VAN DER WEYDEN, Rogier
Impressionism/isaac-levitan_lake-autumn-1.jpg;landscape;landscape;Impressionism;1851-1900;;;
Post_Impressionism/vladimir-dimitrov_unknown-title-13.jpg;portrait;portrait;Post_Impressionism;1851-1900;;;
19377-73hayez.jpg;portrait;portrait;Realism;1801-1850;Oil on canvas;Italian;HAYEZ, Francesco
Impressionism/camille-pissarro_portrait-of-jeanne-1872.jpg;portrait;genre;Impressionism;1851-1900;;;PISSARRO, Camille
Naive_Art_Primitivism/marc-chagall_strawberries-bella-and-ida-at-the-table-1916.jpg;genre_painting;genre;Naive_Art_Primitivism;1851-1900;;;CHAGALL, Marc
Baroque/rembrandt_christ-in-the-storm-1633.jpg;religious_painting;religious;Baroque;1651-1700;;;REMBRANDT
Ukiyo_e/utagawa-kuniyoshi_the-dragon-princess.jpg;portrait;mythological;Ukiyo_e;1451-1500;;;
09360-dedham.jpg;landscape;landscape;Baroque;1801-1850;Oil on canvas;English;CONSTABLE, John
Art_Nouveau_Modern/wilhelm-kotarbinski_evening.jpg;genre_painting;genre;Art_Nouveau;1851-1900;;;
Abstract_Expressionism/william-baziotes_the-flesh-eaters-1952.jpg;abstract_painting;other;Abstract_Expressionism;1851-1900;;;
Abstract_Expressionism/burhan-dogancay_cheerful-ribbons-1978.jpg;abstract_painting;other;Abstract_Expressionism;1801-1850;;;
Symbolism/harry-clarke_the-year-s-at-the-spring-1920-26.jpg;illustration;religious;Symbolism;1851-1900;;;
Baroque/adriaen-van-ostade_scissors-grinder.jpg;genre_painting;mythological;Baroque;1451-1500;;;
Rococo/carl-ludwig-johann-christineck_portrait-of-alexandra-perfilyeva-n-e-countess-tolstaya.jpg;portrait;portrait;Rococo;1751-1800;;;
Cubism/fernand-leger_landscape-animated-1st-study-1921.jpg;cityscape;other;Cubism;1851-1900;;;
40003-1misc05.jpg;genre_painting;genre;Post_Impressionism;1851-1900;Oil on canvas;French;TOULOUSE-LAUTREC, Henri de
Art_Nouveau_Modern/boris-kustodiev_festive-gathering-1910.jpg;genre_painting;landscape;Art_Nouveau;1851-1900;;;KUSTODIEV, Boris
Realism/robert-brackman_pastel-1.jpg;nude_painting;religious;Realism;1451-1500;;;
Romanticism/orest-kiprensky_portrait-of-vasily-zhukovsky-1816.jpg;portrait;portrait;Romanticism;1801-1850;;;
Symbolism/zinaida-serebriakova_landscape-with-a-river-1911.jpg;landscape;landscape;Symbolism;1851-1900;;;
26671-00_1pe1.jpg;religious_painting;religious;High_Renaissance;1501-1550;Fresco;Italian;MICHELANGELO Buonarroti
Realism/ivan-kramskoy_girl-with-a-cat-1882.jpg;portrait;portrait;Realism;1851-1900;;;
Impressionism/claude-monet_meadow-at-giverny.jpg;landscape;landscape;Impressionism;1851-1900;;;MONET, Claude
44517-theswing.jpg;genre_painting;genre;Rococo;1701-1750;Oil on canvas;Italian;ZAIS, Giuseppe
Mannerism_Late_Renaissance/el-greco_christ-on-the-cross-adored-by-two-donors.jpg;religious_painting;religious;Mannerism_Late_Renaissance;1551-1600;;;
High_Renaissance/leonardo-da-vinci_bird-s-eye-view-of-sea-coast.jpg;landscape;portrait;High_Renaissance;1451-1500;;;
Northern_Renaissance/hieronymus-bosch_saint-christopher-1.jpg;sketch_and_study;religious;Northern_Renaissance;1751-1800;;;
Impressionism/antoine-blanchard_rue-tronchet-la-madeleine-3.jpg;cityscape;landscape;Impressionism;1851-1900;;;
Romanticism/camille-corot_cascade-of-terni-1826.jpg;landscape;landscape;Romanticism;1851-1900;;;
Impressionism/konstantin-korovin_in-a-room-1919.jpg;genre_painting;genre;Impressionism;1851-1900;;;
Impressionism/childe-hassam_marlborough-street-boston.jpg;genre_painting;landscape;Impressionism;1851-1900;;;HASSAM, Childe
Art_Nouveau_Modern/sergey-solomko_wedding-ceremony-middle-ages-1909.jpg;genre_painting;portrait;Art_Nouveau;1801-1850;;;
Impressionism/mary-cassatt_a-kiss-for-baby-anne-no-2-1897.jpg;genre_painting;portrait;Impressionism;1801-1850;;;
Realism/ivan-shishkin_beach-of-pond.jpg;landscape;landscape;Realism;1851-1900;;;SHISHKIN, Ivan
Romanticism/sir-lawrence-alma-tadema_an-earthly-paradise-1891.jpg;genre_painting;genre;Romanticism;1851-1900;;;
Northern_Renaissance/pieter-bruegel-the-elder_the-fair-on-st-george-s-day.jpg;genre_painting;mythological;Northern_Renaissance;1501-1550;;;
Minimalism/agnes-martin_grattitude-2001.jpg;abstract_painting;religious;Minimalism;1301-1350;;;
Color_Field_Painting/jose-guerrero_andaluc-a-aparici-n-1964.jpg;abstract_painting;portrait;Color_Field_Painting;1851-1900;;;
Romanticism/fyodor-bronnikov_italian-courtyard-1.jpg;cityscape;landscape;Romanticism;1851-1900;;;
Naive_Art_Primitivism/marc-chagall_rainbow-in-the-sky-a-sign-of-covenant-between-god-and-earth-1931-1.jpg;religious_painting;religious;Naive_Art_Primitivism;1851-1900;;;CHAGALL, Marc
Realism/fyodor-vasilyev_barges-near-the-bank.jpg;landscape;landscape;Realism;1851-1900;;;
42784-2wall1.jpg;religious_painting;religious;Mannerism_Late_Renaissance;1551-1600;Fresco;Italian;VERONESE, Paolo
Impressionism/maurice-prendergast_beechmont.jpg;genre_painting;landscape;Impressionism;1851-1900;;;
10233-1venus06.jpg;religious_painting;mythological;Northern_Renaissance;1501-1550;Oil on wood;German;CRANACH, Lucas the Elder
Art_Nouveau_Modern/jacek-malczewski_poisoned-well-chimera.jpg;genre_painting;genre;Art_Nouveau;1851-1900;;;
26079-24blessi.jpg;religious_painting;religious;Northern_Renaissance;1451-1500;Oil on wood;Flemish;MEMLING, Hans
Cubism/louis-marcoussis_jug-and-card-1919.jpg;still_life;other;Cubism;1851-1900;;;
Impressionism/pierre-auguste-renoir_picking-flowers-in-the-field.jpg;genre_painting;genre;Impressionism;1851-1900;;;RENOIR, Pierre-Auguste
Northern_Renaissance/albrecht-durer_st-jerome-in-his-study-1514.jpg;religious_painting;genre;Northern_Renaissance;1651-1700;;;DURER, Albrecht
36028-3still.jpg;still_life;still-life;Baroque;1601-1650;Oil on canvas;Italian;SALINI, Tommaso
Impressionism/william-merritt-chase_portrait-of-helen-velasquez-chase.jpg;portrait;portrait;Impressionism;1801-1850;;;
13934-banquet.jpg;religious_painting;mythological;Mannerism_Late_Renaissance;1551-1600;Oil on wood;Flemish;FLORIS, Frans
Impressionism/edgar-degas_pink-dancer-1.jpg;genre_painting;genre;Impressionism;1851-1900;;;DEGAS, Edgar
Impressionism/konstantin-korovin_after-the-rain-paris-1897.jpg;cityscape;landscape;Impressionism;1851-1900;;;
Abstract_Expressionism/basil-beattie_imagine-if-1993.jpg;abstract_painting;portrait;Abstract_Expressionism;1651-1700;;;
Impressionism/eugene-boudin_bay-of-plougastel.jpg;landscape;landscape;Impressionism;1851-1900;;;BOUDIN, Eugene
Post_Impressionism/vincent-van-gogh_exterior-of-a-restaurant-at-asnieres-1887(1).jpg;cityscape;landscape;Post_Impressionism;1851-1900;;;VAN GOGH, Vincent
21664-magdalen.jpg;religious_painting;religious;Baroque;1651-1700;Oil on canvas;French;LE BRUN, Charles
Impressionism/claude-monet_the-galettes.jpg;still_life;still-life;Impressionism;1851-1900;;;MONET, Claude
Impressionism/childe-hassam_the-quai-st-michel.jpg;genre_painting;genre;Impressionism;1851-1900;;;HASSAM, Childe
Post_Impressionism/emily-carr_vanquished-1931.jpg;landscape;religious;Post_Impressionism;1551-1600;;;
Cubism/georges-braque_head-of-a-woman-1909.jpg;portrait;portrait;Cubism;1851-1900;;;
35487-24mythol.jpg;religious_painting;mythological;Baroque;1601-1650;Oil on wood;Flemish;RUBENS, Peter Paul
Realism/vincent-van-gogh_fisherman-with-sou-wester-sitting-with-pipe-1883(1).jpg;sketch_and_study;genre;Realism;1851-1900;;;VAN GOGH, Vincent
Rococo/louise-elisabeth-vigee-le-brun_portrait-of-countess-golovine.jpg;portrait;portrait;Rococo;1751-1800;;;
05491-kora.jpg;religious_painting;religious;High_Renaissance;1451-1500;Fresco;Italian;BOTTICELLI, Sandro
Realism/camille-corot_little-chaville-1825.jpg;landscape;landscape;Realism;1801-1850;;;
Art_Nouveau_Modern/ivan-bilibin_illustration-for-the-russian-fairy-story-maria-morevna-1900-6(1).jpg;illustration;other;Art_Nouveau;1801-1850;;;
04588-angelica.jpg;religious_painting;mythological;Baroque;1601-1650;Oil on canvas;Italian;BILIVERT, Giovanni
Expressionism/rafael-zabaleta_model-and-two-painters-sitting.jpg;genre_painting;genre;Expressionism;1851-1900;;;
Pop_Art/andy-warhol_portrait-of-jamie-wyeth.jpg;portrait;portrait;Pop_Art;1801-1850;;;
Ukiyo_e/keisai-eisen_no-2-ni-from-the-series-popular-indigo-clothing-ryuko-ai-shitate-1835(1).jpg;portrait;other;Ukiyo_e;1451-1500;;;
Romanticism/theodore-gericault_a-young-negro-woman.jpg;portrait;portrait;Romanticism;1451-1500;;;
43422-fenelon.jpg;portrait;portrait;Baroque;1651-1700;Oil on canvas;French;VIVIEN, Joseph
Impressionism/antoine-blanchard_avenue-de-l-opera.jpg;cityscape;landscape;Impressionism;1851-1900;;;
06373-07census.jpg;genre_painting;religious;Northern_Renaissance;1501-1550;Oil on wood;Netherlandish;BRUEGEL, Pieter the Elder
Realism/valentin-serov_portrait-of-the-composer-alexander-glazunov-1899.jpg;sketch_and_study;portrait;Realism;1851-1900;;;
Romanticism/frederic-edwin-church_el-r-o-de-luz-the-river-of-light-1877.jpg;landscape;landscape;Romanticism;1801-1850;;;
Expressionism/zinaida-serebriakova_portrait-of-a-b-serebryakov-1938.jpg;portrait;portrait;Expressionism;1851-1900;;;
Impressionism/joaquã­n-sorolla_valencian-fisherman-1897.jpg;genre_painting;landscape;Impressionism;1851-1900;;;
26161-0341virg.jpg;religious_painting;religious;Northern_Renaissance;1451-1500;Oil on wood;Flemish;MEMLING, Hans
Post_Impressionism/theo-van-doesburg_river-landscape-with-mill-1931.jpg;landscape;landscape;Post_Impressionism;1801-1850;;;
Abstract_Expressionism/jimmy-ernst_science-fiction-1948.jpg;abstract_painting;religious;Abstract_Expressionism;1851-1900;;;
Baroque/rembrandt_samson-at-the-wedding-1638.jpg;religious_painting;religious;Baroque;1601-1650;;;REMBRANDT
Impressionism/john-singer-sargent_ramon-subercaseaux.jpg;genre_painting;landscape;Impressionism;1851-1900;;;SINGER SARGENT, John
High_Renaissance/pietro-perugino_pieta-1495.jpg;religious_painting;religious;High_Renaissance;1451-1500;;;
38780-thoma2.jpg;landscape;landscape;Realism;1851-1900;Oil on canvas;German;THOMA, Hans
Expressionism/wassily-kandinsky_in-the-forest-1904.jpg;landscape;genre;Expressionism;1851-1900;;;
10306-02wise.jpg;portrait;portrait;Northern_Renaissance;1501-1550;Oil on wood;German;CRANACH, Lucas the Elder
Abstract_Expressionism/guido-molinari_untitled-1953-1.jpg;abstract_painting;other;Abstract_Expressionism;1851-1900;;;
Post_Impressionism/vincent-van-gogh_pine-trees-seen-against-the-wall-of-the-asylum-1889-2.jpg;sketch_and_study;landscape;Post_Impressionism;1851-1900;;;VAN GOGH, Vincent
08523-4portra.jpg;portrait;portrait;Impressionism;1851-1900;Oil on canvas;French;CÉZANNE, Paul
Romanticism/ivan-aivazovsky_the-varangians-on-the-dnieper-1876.jpg;landscape;landscape;Romanticism;1851-1900;;;AIVAZOVSKY, Ivan
00419-4saints3.jpg;religious_painting;religious;Early_Renaissance;1351-1400;Fresco;Italian;ALTICHIERO da Zevio
Realism/konstantin-makovsky_portrait-of-the-girl.jpg;portrait;portrait;Realism;1851-1900;;;
Realism/aleksey-savrasov_rafts-1868.jpg;landscape;landscape;Realism;1801-1850;;;
Naive_Art_Primitivism/william-h.-johnson_knitting-party-1942(1).jpg;genre_painting;other;Naive_Art_Primitivism;1851-1900;;;
18896-semiram.jpg;religious_painting;mythological;Baroque;1601-1650;Oil on canvas;Italian;GUERCINO
Symbolism/mikhail-nesterov_portrait-of-apollinary-vasnetsov.jpg;portrait;portrait;Symbolism;1551-1600;;;
Art_Nouveau_Modern/heorhiy-narbut_illustration-fairy-tales-teremok-mizgir-1910-6.jpg;illustration;mythological;Art_Nouveau;1501-1550;;;
30605-2mira03.jpg;religious_painting;mythological;Baroque;1701-1750;Fresco;Italian;PELLEGRINI, Giovanni Antonio
Post_Impressionism/maurice-utrillo_the-garden-at-montmagny.jpg;cityscape;landscape;Post_Impressionism;1851-1900;;;
Realism/gustave-courbet_the-stream-in-bremen-1865.jpg;landscape;landscape;Realism;1851-1900;;;
Expressionism/henri-matisse_still-life-with-a-red-rug-1906.jpg;still_life;still-life;Expressionism;1851-1900;;;
38351-ferdinan.jpg;religious_painting;portrait;Baroque;1601-1650;Oil on canvas;Flemish;SUSTERMANS, Justus
Expressionism/konstantinos-parthenis_la-temperanza-woman-holding-a-knife-1938.jpg;portrait;portrait;Expressionism;1401-1450;;;
08690-12attrib.jpg;still_life;still-life;Baroque;1701-1750;Oil on canvas;French;CHARDIN, Jean-Baptiste-Siméon
Symbolism/odilon-redon_closed-eyes-1.jpg;portrait;portrait;Symbolism;1851-1900;;;
Northern_Renaissance/albrecht-durer_soldiers-under-the-cross.jpg;genre_painting;mythological;Northern_Renaissance;1451-1500;;;DURER, Albrecht
Impressionism/childe-hassam_dock-of-tuileries-1889.jpg;cityscape;landscape;Impressionism;1851-1900;;;HASSAM, Childe
Impressionism/lucian-grigorescu_peisaj-cu-biseric-ro-ie.jpg;landscape;landscape;Impressionism;1851-1900;;;
Romanticism/karl-bodmer_kiasax-a-piegen-blackfeet-warrior.jpg;portrait;other;Romanticism;1801-1850;;;
Early_Renaissance/jacopo-bellini_madonna-and-child-1448.jpg;religious_painting;religious;Early_Renaissance;1401-1450;;;
Impressionism/edgar-degas_dance-rehearsal-in-the-studio-of-the-opera-1895.jpg;genre_painting;other;Impressionism;1851-1900;;;DEGAS, Edgar
Expressionism/salvador-dali_study-for-a-portrait-unfinished.jpg;sketch_and_study;portrait;Expressionism;1851-1900;;;DALI, Salvador
22287-1foscar1.jpg;religious_painting;interior;Mannerism_Late_Renaissance;1601-1650;Fresco;Italian;LIBERI, Pietro
Realism/fyodor-vasilyev_in-the-mountain-of-the-crimea-brook-1873.jpg;sketch_and_study;landscape;Realism;1851-1900;;;
36972-self_old.jpg;portrait;portrait;Rococo;1701-1750;Oil on metal;German;SEYBOLD, Christian
Symbolism/nicholas-roerich_church-of-assumption-in-pskov.jpg;cityscape;landscape;Symbolism;1851-1900;;;ROERICH, Nicholas
10119-24virgin.jpg;religious_painting;religious;Northern_Renaissance;1501-1550;Oil on wood;German;CRANACH, Lucas the Elder
Impressionism/alfred-sisley_banks-of-the-loing-at-moret-1892.jpg;landscape;landscape;Impressionism;1851-1900;;;
21823-colbert.jpg;portrait;portrait;Baroque;1651-1700;Oil on canvas;French;LEFEBVRE, Claude
Impressionism/pierre-auguste-renoir_young-woman-seated-1909.jpg;portrait;portrait;Impressionism;1851-1900;;;RENOIR, Pierre-Auguste
Realism/vincent-van-gogh_orphan-man-with-long-overcoat-glass-and-handkerchief-1882.jpg;portrait;portrait;Realism;1851-1900;;;VAN GOGH, Vincent
Baroque/peter-paul-rubens_the-holy-family-with-st-anne.jpg;religious_painting;religious;Baroque;1601-1650;;;
Romanticism/orest-kiprensky_portrait-of-grand-duke-michael-pavlovich-of-russia-1819.jpg;portrait;portrait;Romanticism;1801-1850;;;
Ukiyo_e/katsushika-hokusai_manga-6.jpg;sketch_and_study;landscape;Ukiyo_e;1801-1850;;;
Baroque/bartolome-esteban-murillo_the-apparition-of-the-immaculate-virgin-to-six-characters-1665.jpg;religious_painting;religious;Baroque;1701-1750;;;
Baroque/rembrandt_woman-with-a-pink-1630.jpg;portrait;portrait;Baroque;1601-1650;;;REMBRANDT
21833-country.jpg;genre_painting;genre;Impressionism;1851-1900;Oil on canvas;Italian;LEGA, Silvestro
Post_Impressionism/edouard-cortes_place-de-la-bastille.jpg;cityscape;landscape;Post_Impressionism;1851-1900;;;
Impressionism/alfred-sisley_snow-effect-at-moret-1894.jpg;landscape;landscape;Impressionism;1851-1900;;;
Impressionism/berthe-morisot_beneath-the-lilac-at-maurecourt-1874.jpg;genre_painting;genre;Impressionism;1851-1900;;;
Early_Renaissance/masaccio_st-juvenal-triptych-1422.jpg;religious_painting;religious;Early_Renaissance;1401-1450;;;
Art_Nouveau_Modern/ivan-bilibin_resurrection-of-christ-the-sketch-for-the-fresco-of-the-church-of-the-assumption-in-olshany-1900.jpg;religious_painting;religious;Art_Nouveau;1451-1500;;;
Romanticism/william-shayer_carthorses-and-rustics-by-a-stream-1840.jpg;genre_painting;landscape;Romanticism;1851-1900;;;
Realism/vincent-van-gogh_scheveningen-woman-standing-1881.jpg;sketch_and_study;landscape;Realism;1851-1900;;;VAN GOGH, Vincent
41141-strawber.jpg;religious_painting;religious;Northern_Renaissance;1401-1450;Tempera on wood;German;UNKNOWN MASTER, German
Abstract_Expressionism/john-mccracken_untitled-december-6-1973-1973.jpg;abstract_painting;other;Abstract_Expressionism;1851-1900;;;
38711-concert1.jpg;portrait;genre;Romanticism;1601-1650;Oil on canvas;Dutch;TERBRUGGHEN, Hendrick
Impressionism/joaquã­n-sorolla_calle-de-st-vicente-mallorca-1902.jpg;landscape;landscape;Impressionism;1851-1900;;;
Rococo/louise-elisabeth-vigee-le-brun_elisabeth-alexeievna.jpg;portrait;portrait;Rococo;1751-1800;;;
Expressionism/martiros-saryan_a-meeting-pushkin-with-carriage-carrying-the-body-of-griboyedov-1936.jpg;genre_painting;genre;Expressionism;1851-1900;;;SARYAN, Martiros
Cubism/marcel-janco_girl-portrait-1930.jpg;portrait;genre;Cubism;1851-1900;;;
19437-fruitsti.jpg;still_life;still-life;Baroque;1601-1650;Oil on wood;Dutch;HEEM, Jan Davidsz. de
Baroque/anthony-van-dyck_an-aristocratic-genoese-1626.jpg;portrait;portrait;Baroque;1601-1650;;;
Realism/vasily-polenov_normandy-beach-1874.jpg;landscape;landscape;Realism;1851-1900;;;
10683-pancraz4.jpg;religious_painting;religious;Early_Renaissance;1301-1350;Tempera on wood;Italian;DADDI, Bernardo
08988-03moses.jpg;landscape;landscape;Baroque;1651-1700;Oil on canvas;French;CLAUDE LORRAIN
00130-triptic3.jpg;religious_painting;religious;High_Renaissance;1501-1550;Oil on wood;Flemish;AERTSEN, Pieter
High_Renaissance/raphael_head-of-a-woman-1520.jpg;sketch_and_study;other;High_Renaissance;1751-1800;;;
Romanticism/gustave-dore_jacob-keeping-laban-s-flock-1866.jpg;religious_painting;religious;Romanticism;1451-1500;;;DORE, Gustave
Realism/salvador-dali_portrait-of-mrs-fagen.jpg;portrait;portrait;Realism;1801-1850;;;DALI, Salvador
Romanticism/caspar-david-friedrich_wc-croix-et-cath-drale-dans-la-montagne-1812-1812-museum-kunstpalast-height0-45-cm-17-7-in.jpg;landscape;landscape;Romanticism;1801-1850;;;
Realism/constantin-guys_portrait-of-a-lady.jpg;portrait;portrait;Realism;1851-1900;;;
Baroque/jan-steen_drawing-lesson.jpg;genre_painting;genre;Baroque;1651-1700;;;
Impressionism/berthe-morisot_griffon-dog-s-head-follette.jpg;genre_painting;portrait;Impressionism;1851-1900;;;
Cubism/henri-laurens_composition-1916.jpg;still_life;portrait;Cubism;1851-1900;;;
Romanticism/henry-raeburn_mrs-colin-campbell-of-park.jpg;portrait;portrait;Romanticism;1601-1650;;;
23684-mad_chil.jpg;religious_painting;religious;High_Renaissance;1451-1500;Oil on wood;Italian;MAINARDI, Bastiano
40778-cardinal.jpg;portrait;portrait;Northern_Renaissance;1501-1550;Oil on paper;Austrian;UNKNOWN MASTER, Austrian
Realism/james-tissot_the-lost-drachma-1894.jpg;genre_painting;genre;Realism;1601-1650;;;
44667-firenze2.jpg;cityscape;landscape;Rococo;1701-1750;Oil on canvas;Italian;ZOCCHI, Giuseppe
Realism/pyotr-konchalovsky_portrait-of-professor-n-p-remizov-1955.jpg;portrait;portrait;Realism;1851-1900;;;KONCHALOVSKY, Pyotr
04573-concert.jpg;genre_painting;genre;Baroque;1601-1650;Oil on canvas;Dutch;VAN BIJLERT, Jan
38876-14udine.jpg;religious_painting;religious;Rococo;1701-1750;Fresco;Italian;TIEPOLO, Giovanni Battista
